44	43	30	39
8	38	16	50
23	9	3	3
5	24	15	50
50	37	8	36
14	38	47	20
38	18	29	26
29	34	33	38
44	44	30	19
39	5	24	3
20	38	24	25
21	22	5	25
11	26	6	11
25	4	11	26
11	15	31	34
28	30	1	21
36	6	11	33
16	43	34	21
44	33	36	35
33	24	31	21
26	43	15	14
17	34	14	15
18	14	41	43
44	32	17	8
26	38	41	2
14	34	49	34
21	6	25	33
40	10	30	20
33	12	26	15
44	20	45	18
20	47	6	22
42	37	34	21
4	16	8	28
50	38	12	21
13	27	1	48
49	6	4	25
15	26	8	39
3	42	7	4
36	39	32	19
43	39	11	37
43	44	11	13
8	1	21	41
14	48	16	3
45	27	2	5
23	13	19	50
46	41	6	9
17	47	16	13
14	35	47	15
29	43	36	26
33	6	9	21
15	47	25	29
14	20	19	45
35	40	11	10
24	43	34	14
10	17	9	37
32	8	8	38
50	31	35	37
37	34	7	2
41	38	2	26
35	29	14	19
40	27	42	4
31	6	34	7
5	30	40	2
34	15	24	30
42	41	33	37
23	35	28	26
4	49	16	43
10	18	15	5
33	41	48	13
46	19	20	11
28	9	33	24
50	2	44	14
4	11	7	32
20	43	23	9
30	2	38	22
44	38	36	5
11	42	19	18
4	11	12	24
28	13	21	16
46	3	17	29
25	47	7	32
45	47	35	6
8	2	21	13
44	43	17	29
48	1	16	7
16	18	16	47
1	42	3	12
46	9	1	37
49	49	13	6
38	49	11	25
33	38	46	49
30	41	12	50
14	11	10	50
23	20	30	2
24	28	43	40
41	11	45	23
9	31	8	36
7	47	46	48
25	44	38	38
9	27	32	26
44	49	36	21
29	24	29	9
27	35	30	44
9	16	31	3
47	46	14	32
40	28	1	50
13	14	23	19
31	43	16	18
48	25	46	9
20	18	44	13
38	15	46	46
40	17	2	43
11	23	16	1
27	48	6	7
16	26	1	3
31	4	50	43
1	17	25	28
20	13	13	1
20	45	15	30
30	23	9	27
25	50	43	15
33	48	6	19
29	43	18	31
43	27	21	14
9	12	30	1
14	31	20	13
7	47	33	50
36	2	32	11
24	9	8	5
20	49	17	9
40	47	8	14
29	28	36	16
43	14	46	20
29	39	6	35
46	6	2	14
46	40	10	13
27	4	34	2
45	3	35	11
5	12	33	20
12	19	3	6
35	3	6	35
49	5	32	15
8	32	44	23
13	34	37	6
41	28	45	47
2	42	13	15
19	46	21	4
4	16	23	7
10	33	49	29
34	12	50	46
4	26	4	9
18	45	48	29
8	35	5	41
21	50	25	2
30	36	7	15
22	50	12	23
18	41	19	40
42	50	49	4
9	48	31	50
19	6	15	8
42	8	49	38
11	14	12	31
38	13	6	44
11	45	29	33
41	7	37	10
39	15	48	46
5	5	35	35
47	19	12	29
13	20	33	41
24	22	41	1
49	8	7	28
38	31	26	11
29	44	8	48
10	19	38	39
31	14	46	4
39	4	24	3
7	4	13	14
4	25	15	7
16	1	48	6
43	33	12	32
21	27	36	28
23	30	9	41
21	25	33	5
29	26	7	9
47	43	13	28
32	5	14	4
19	34	41	50
39	45	36	46
14	10	46	48
33	43	21	10
43	28	1	16
27	5	31	21
4	24	8	50
11	2	19	35
8	40	36	1
21	9	4	13
48	20	23	42
9	16	6	37
10	6	44	35
29	44	39	36
24	26	27	12
48	32	16	4
15	13	38	25
8	28	13	32
8	17	16	38
28	32	20	25
38	49	33	31
12	20	14	31
27	23	4	36
38	46	7	3
16	18	5	17
8	26	5	34
13	22	30	30
41	14	43	45
37	23	11	17
12	6	33	15
1	6	35	46
35	6	47	8
25	4	49	50
35	48	49	32
5	26	49	25
43	11	36	17
32	18	41	18
48	30	41	18
39	13	48	6
17	22	39	33
49	39	36	5
23	29	37	42
50	26	8	27
21	34	49	13
35	23	7	7
39	14	12	50
16	3	14	28
35	30	8	47
28	21	5	26
23	38	18	3
26	33	16	7
30	38	3	28
40	41	32	39
18	46	6	48
12	29	36	20
9	23	41	27
6	3	27	38
40	15	2	33
20	28	34	6
42	33	27	44
38	40	7	18
8	1	45	1
14	36	23	23
23	22	44	29
50	40	3	3
10	14	41	13
17	27	38	9
12	33	41	11
24	19	22	41
2	49	50	40
41	35	11	22
50	28	22	48
33	24	36	31
14	4	44	41
27	32	38	31
23	36	48	50
21	37	22	18
45	19	28	14
13	26	22	14
16	9	42	14
11	41	25	9
46	4	47	17
25	40	19	35
49	10	27	39
49	14	37	27
34	6	8	33
27	38	16	22
8	15	5	20
43	22	20	25
9	24	38	23
28	12	11	7
12	38	35	31
33	30	13	32
49	50	39	50
29	28	39	38
1	7	34	23
6	11	40	3
21	28	30	45
49	7	9	35
3	27	11	23
7	46	1	26
24	31	31	22
45	32	6	1
3	27	42	18
38	20	13	22
32	13	40	37
27	33	40	15
26	7	35	22
34	34	6	18
1	25	34	19
15	50	50	11
15	5	17	49
12	12	41	24
39	26	17	40
2	39	34	14
43	11	44	21
40	29	6	19
40	7	19	7
19	24	42	3
17	3	1	31
22	21	47	4
29	38	30	50
40	2	7	29
41	30	35	23
22	17	10	39
1	3	41	46
24	33	17	23
1	21	29	2
49	36	13	4
23	31	40	50
35	4	4	7
7	46	7	33
38	14	8	48
22	19	47	11
26	15	45	18
42	35	27	44
42	19	1	21
36	7	38	39
50	27	50	7
2	10	38	24
46	36	37	29
35	21	37	48
33	23	12	42
46	48	36	21
23	10	7	16
49	8	12	12
19	18	26	44
46	34	40	45
37	17	12	27
37	8	32	27
6	6	32	36
48	38	26	22
1	9	29	28
2	31	46	24
17	49	13	25
8	22	17	4
26	4	25	20
36	5	47	28
46	8	41	45
9	6	26	21
3	10	36	9
27	38	42	46
42	20	40	11
37	32	11	48
27	3	11	33
2	15	41	48
41	42	48	15
37	27	22	5
34	8	32	18
37	19	25	25
7	24	34	24
35	21	37	29
48	7	40	14
9	17	1	13
6	23	28	15
1	17	9	49
43	39	38	33
24	3	33	44
25	41	31	21
42	35	15	6
40	29	37	34
41	21	49	44
21	7	18	49
20	4	9	16
37	14	21	26
4	5	15	50
7	23	43	10
22	49	7	42
1	3	4	40
14	44	23	11
49	27	17	6
43	20	16	27
27	45	50	14
22	9	26	24
29	46	31	41
48	48	28	11
