36	18	21	39	59	15	69
1	57	60	66	89	55	11
79	78	84	57	67	98	51
16	56	66	5	69	28	68
44	32	63	11	53	97	37
14	67	40	32	65	78	62
39	73	21	94	80	61	66
14	68	67	25	80	77	76
82	14	35	15	53	34	100
84	79	74	69	28	90	91
91	46	67	11	43	69	37
11	44	17	39	36	14	39
43	7	75	2	15	1	50
55	28	16	33	19	38	66
3	35	9	50	37	48	8
65	81	64	39	50	49	5
20	1	50	31	46	33	62
58	76	62	86	36	58	56
23	67	72	71	24	89	16
89	15	72	89	10	24	31
72	7	2	94	65	30	55
14	75	94	21	62	65	85
76	98	29	54	90	43	92
5	100	97	78	51	44	86
18	25	18	71	91	8	95
20	2	68	59	93	8	84
16	54	31	75	57	69	20
22	2	82	15	4	50	71
26	42	64	57	24	35	33
61	99	70	47	95	88	8
55	79	69	68	23	30	72
35	96	97	4	47	87	18
54	53	73	41	22	93	47
52	45	33	95	6	77	18
31	13	44	48	53	43	94
84	8	78	11	50	79	72
76	85	97	50	34	5	3
58	83	49	43	40	40	70
59	41	100	54	56	75	81
15	46	1	57	6	91	26
59	55	82	53	82	72	25
33	1	12	93	3	39	19
52	58	33	70	90	92	97
87	48	50	68	93	87	89
65	93	97	64	25	34	68
80	30	32	73	8	100	15
69	75	39	85	36	2	28
62	12	14	86	57	41	46
85	11	60	51	90	71	7
52	6	84	6	44	66	12
84	28	53	55	76	39	52
9	73	74	64	22	5	12
59	40	19	16	92	71	33
24	20	7	54	51	1	6
100	1	53	96	24	69	24
94	44	34	59	30	53	99
42	56	41	50	58	20	76
27	43	67	1	23	97	43
68	3	46	14	63	93	22
43	66	38	60	93	76	80
93	55	63	96	73	56	2
27	27	45	84	45	74	49
71	64	82	63	98	55	88
2	16	9	93	70	60	90
40	45	23	51	84	87	78
83	62	30	57	30	15	90
13	10	36	4	57	58	63
16	89	44	25	86	39	54
47	90	33	78	45	93	21
38	76	42	37	30	37	86
64	82	60	47	16	57	18
68	56	46	48	41	7	60
32	20	96	23	47	58	18
46	60	37	4	59	65	100
47	94	74	35	65	39	92
100	98	95	55	1	81	23
53	72	61	1	5	10	57
48	57	17	79	60	92	100
15	16	2	54	16	8	54
53	43	54	33	24	96	47
83	30	92	86	93	87	59
74	73	69	78	35	27	47
19	23	65	26	68	54	55
33	27	26	47	45	44	76
16	99	22	68	93	72	26
1	59	5	17	35	20	1
39	42	24	88	91	91	28
81	61	34	49	63	84	63
84	37	99	85	80	34	64
53	71	44	52	29	52	17
9	14	43	17	30	45	69
41	6	15	55	19	72	73
49	68	22	41	24	80	88
8	11	54	19	99	76	82
88	3	32	25	25	13	74
98	32	57	46	61	90	67
91	81	96	7	75	69	100
53	55	18	91	85	5	52
6	18	57	25	94	25	24
98	5	80	16	41	82	99
58	78	94	18	81	35	81
42	26	76	28	95	25	66
60	27	16	62	89	74	41
87	49	27	36	47	99	79
8	10	72	74	26	48	97
60	82	70	88	18	72	98
11	64	80	20	46	60	76
25	74	87	54	66	83	31
52	23	63	79	28	84	51
87	84	3	1	37	74	7
62	89	51	52	54	1	66
72	5	69	47	80	1	48
31	30	37	19	14	52	31
28	94	11	45	55	22	25
61	75	78	98	75	93	10
62	12	64	75	95	38	61
12	53	64	100	95	24	91
75	21	89	48	98	19	61
42	40	1	41	90	66	10
21	27	79	23	86	28	94
97	13	46	95	7	30	84
66	6	91	45	63	78	87
27	56	62	34	78	24	20
79	26	26	31	26	17	63
19	44	11	53	77	53	17
2	62	49	1	90	91	82
73	16	1	2	35	24	69
46	62	9	46	14	24	3
24	94	91	29	61	53	56
1	67	95	58	6	91	90
22	34	95	7	43	96	19
17	51	81	85	70	2	97
28	37	13	40	5	81	57
64	70	23	86	38	72	99
85	91	63	17	84	6	8
62	60	4	16	29	6	56
47	78	87	6	89	88	20
2	62	2	53	8	97	23
20	2	23	5	73	45	22
41	37	70	81	57	25	23
28	71	46	12	6	4	82
43	36	15	69	11	35	27
65	63	22	78	36	6	34
53	24	87	72	1	66	96
99	5	22	35	76	96	12
23	44	37	48	3	19	10
27	5	41	94	20	6	4
56	38	93	46	75	57	24
71	55	11	75	54	91	86
99	21	71	82	69	44	95
17	2	69	91	60	6	87
45	83	97	21	1	1	45
84	29	49	3	39	77	14
64	8	89	10	21	9	21
54	73	36	6	48	63	60
77	84	83	78	31	57	28
23	58	87	33	12	44	49
65	16	19	42	48	61	48
70	29	19	57	50	51	30
67	80	3	98	97	51	57
82	9	81	50	75	33	87
93	38	78	73	46	26	58
22	29	68	80	98	47	45
30	16	100	93	4	58	99
70	7	16	51	20	76	19
13	91	36	52	15	61	51
40	60	14	49	39	16	92
33	4	53	95	18	59	65
18	49	62	45	57	78	90
