26	37	91
21	28	16
41	86	95
94	86	57
37	98	65
31	34	48
27	69	87
16	96	95
14	61	92
28	98	89
32	40	67
85	17	71
83	82	56
77	87	82
42	37	35
68	19	42
62	29	37
88	10	48
59	29	10
70	67	30
10	39	41
92	53	11
89	83	21
63	70	84
63	36	11
41	32	46
47	57	71
65	48	76
46	99	70
59	26	80
99	27	81
78	83	20
39	73	29
60	90	17
13	24	90
93	28	42
73	80	56
97	86	10
56	49	59
82	93	17
19	62	73
35	69	19
44	74	45
89	97	27
46	48	32
70	57	97
34	76	99
65	59	31
41	26	71
84	96	91
22	40	31
98	78	30
93	99	52
99	56	15
75	51	82
59	67	16
41	75	10
55	17	18
80	87	29
15	98	43
14	71	23
16	88	91
46	41	19
45	54	97
59	58	90
44	44	99
52	41	70
34	33	12
10	82	23
32	27	22
67	36	61
28	51	19
47	35	53
87	13	21
40	19	55
14	60	41
99	54	81
80	93	71
48	25	86
71	73	11
16	15	43
92	41	68
62	96	41
39	61	37
83	93	26
75	74	65
41	37	53
68	61	39
79	46	86
48	98	70
79	77	95
62	95	62
60	42	99
88	25	96
71	57	26
30	86	10
81	64	60
29	89	94
40	57	63
23	60	10
27	37	70
34	98	10
68	48	45
44	22	24
86	91	71
20	38	79
52	50	31
47	87	45
51	10	57
44	95	62
69	34	94
41	32	49
33	99	44
31	91	38
80	77	62
86	66	84
93	11	58
29	43	15
75	97	52
99	92	48
46	41	86
43	15	21
70	51	38
28	65	31
60	99	13
84	16	98
61	74	30
23	67	16
45	68	26
82	84	19
51	29	39
94	25	56
52	77	46
80	46	70
67	16	73
22	61	63
75	78	26
86	77	99
72	13	55
20	42	85
19	46	82
43	94	64
43	18	60
54	93	15
27	24	75
34	87	44
72	49	76
72	64	40
44	26	34
27	46	17
43	63	18
36	56	61
32	64	46
74	60	53
18	62	35
89	20	54
90	11	32
75	18	81
70	85	84
38	74	68
46	51	68
74	32	98
87	14	69
64	17	79
38	79	30
15	62	80
45	18	15
60	72	16
60	97	84
98	47	67
45	62	44
14	79	80
28	45	43
73	44	27
72	24	67
61	25	45
42	40	64
42	16	31
83	55	77
60	37	77
34	83	90
54	96	26
32	48	71
76	94	56
30	47	84
40	68	70
78	76	13
63	11	28
38	30	48
45	82	56
55	14	99
56	53	88
15	23	73
57	32	29
41	23	21
26	58	15
19	13	62
97	18	87
38	41	26
53	35	28
31	70	76
70	72	28
55	44	65
32	84	88
75	99	77
70	90	35
76	36	28
36	90	61
